District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,The Populus Coffee & Food Co.,1.278215,103.840715,Café
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Coffee Break,1.2795293,103.846695,Coffee Shop
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Downtown Gallery,1.276451814240619,103.8484626777089,Shopping Mall
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Duxton Plain Park,1.277827177340126,103.84172201156616,Park
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Muchachos,1.2790721332821124,103.84702556749504,Burrito Place
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Pura Brasa,1.2769373384956566,103.84681668884265,Spanish Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,The Westin Singapore,1.2782748644512303,103.85077194308906,Hotel
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Meat Smith,1.2802049410855447,103.8474104901937,Southern / Soul Food Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Smith Street Taps,1.282590750511162,103.84375321101133,Beer Garden
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,kiyone+LIM,1.2808208114296316,103.84093021543094,Nail Salon
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Pure Fitness,1.2786308470437144,103.85148741278418,Gym
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Han Kee Fish Soup,1.2794006,103.846596,Soup Place
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Potato Head Folk,1.2804869265130967,103.84169853066427,Burger Joint
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Kok Sen Restaurant,1.2803146310568736,103.84161732097576,Chinese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Luke's Oyster Bar & Chop House,1.2824588279356128,103.84724044318698,Seafood Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Amoy Street Food Centre,1.2795923,103.8467,Food Court
